City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,kamianka,49.0318,32.104,1.71,100,100,2.52,UA,1702343583
229,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,3.09,CA,1702343583
230,humahuaca,-23.2054,-65.3505,17.08,54,100,2.41,AR,1702343584
231,northam,51.0333,-4.2167,11.45,97,39,6.52,GB,1702343584
232,berrahal,36.8353,7.4533,12.85,69,89,1.64,DZ,1702343585
233,tura,25.5198,90.2201,14.81,92,2,1.31,IN,1702343585
234,praia da vitoria,38.7333,-27.0667,12.64,87,2,5.73,PT,1702343586
235,altamira,-3.2033,-52.2064,23.5,93,92,0.41,BR,1702343587
236,acapulco de juarez,16.8634,-99.8901,27.9,78,100,0.0,MX,1702343093
237,kwolla,8.9333,9.2833,20.61,24,3,3.21,NG,1702343588
238,utrik,11.2278,169.8474,27.19,71,51,8.2,MH,1702343589
239,monteagudo,-19.8167,-63.9833,22.2,84,100,0.57,BO,1702343589
240,kasongo-lunda,-6.4667,16.8167,21.46,99,100,0.34,CD,1702343589
241,san juan,-31.5375,-68.5364,30.54,31,0,7.24,AR,1702343377
242,kingston,17.997,-76.7936,28.53,74,20,9.26,JM,1702342836
243,tazovsky,67.4667,78.7,-25.52,94,100,3.75,RU,1702343078
244,shortandy,51.7006,70.9994,-27.96,94,38,6.05,KZ,1702343592
245,fort drum,44.0584,-75.7619,-0.4,74,100,5.14,US,1702343592
246,maceio,-9.6658,-35.7353,23.69,100,20,1.54,BR,1702343593
247,aykhal,66.0,111.5,-26.23,99,100,2.23,RU,1702343593
248,moyynkum,44.2914,72.9469,-16.82,76,0,5.05,KZ,1702343593
249,muisne,0.6,-80.0333,25.51,87,57,2.8,EC,1702343594
250,ventspils,57.3894,21.5606,-1.04,100,75,2.06,LV,1702343595
251,baruun-urt,46.6806,113.2792,-25.17,100,76,1.8,MN,1702343595
252,usogorsk,63.4106,48.6872,-15.74,92,100,5.17,RU,1702343601
253,holualoa,19.6228,-155.9522,26.42,83,75,3.6,US,1702343601
254,puerto deseado,-47.7503,-65.8938,11.56,75,98,5.56,AR,1702343109
255,roberval,48.5168,-72.2324,-5.65,68,100,6.17,CA,1702343602
256,koh kong,11.6175,102.9806,26.33,77,73,1.6,KH,1702343603
257,tevriz,57.509,72.4042,-32.99,99,6,1.36,RU,1702343330
258,oranjemund,-28.55,16.4333,16.33,92,4,7.01,NA,1702343087
259,alaghsas,17.0187,8.0168,18.61,34,0,9.41,NE,1702343604
260,luderitz,-26.6481,15.1594,17.84,53,0,8.93,NA,1702343605
261,jijiga,9.35,42.8,15.3,52,100,1.67,ET,1702343605
